CT,ID
23.541,1_1_1
23.479,1_1_1
25.703,1_1_2
25.343,1_1_2
21.891,1_1_3
22.194,1_1_3
23.867,10_1_1
23.977,10_1_1
21.402,10_1_2
21.399,10_1_2
15.25,10_1_3
15.903,10_1_3
25.553,100_1_1
24.656,100_1_1
24.12,100_1_2
24.023,100_1_2
22.437,100_1_3
22.436,100_1_3
24.367,101_1_1
25.061,101_1_1
24.822,101_1_2
24.68,101_1_2
15.975,101_1_3
16.32,101_1_3
24.911,102_1_1
23.247,102_1_1
25.5,102_1_2
25.039,102_1_2
23.791,102_1_3
23.106,102_1_3
23.684,103_1_1
23.816,103_1_1
24.38,103_1_2
24.918,103_1_2
19.404,103_1_3
19.367,103_1_3
25.668,104_1_1
25.896,104_1_1
23.46,104_1_2
23.434,104_1_2
18.18,104_1_3
18.842,104_1_3
24.839,105_1_1
24.694,105_1_1
23.686,105_1_2
24.354,105_1_2
18.472,105_1_3
18.223,105_1_3
21.766,106_1_1
21.474,106_1_1
25.824,106_1_2
25.38,106_1_2
18.662,106_1_3
18.412,106_1_3
26.186,107_1_1
26.075,107_1_1
23.897,107_1_2
23.958,107_1_2
23.399,107_1_3
22.975,107_1_3
25.063,108_1_1
24.811,108_1_1
20.362,108_1_2
20.985,108_1_2
23.172,108_1_3
22.947,108_1_3
25.496,109_1_1
25.534,109_1_1
23.156,109_1_2
23.039,109_1_2
24.366,109_1_3
24.505,109_1_3
22.873,11_1_1
23.107,11_1_1
22.078,11_1_2
21.766,11_1_2
13.438,11_1_3
14.274,11_1_3
23.228,110_1_1
23.194,110_1_1
23.792,110_1_2
23.663,110_1_2
20.729,110_1_3
21.065,110_1_3
23.3,111_1_1
23.207,111_1_1
26.465,111_1_2
26.309,111_1_2
17.802,111_1_3
18.324,111_1_3
25.944,112_1_1
25.962,112_1_1
22.918,112_1_2
22.796,112_1_2
17.221,112_1_3
17.302,112_1_3
14.294,113_1_1
14.7,113_1_1
17.565,113_1_2
17.331,113_1_2
18.62,113_1_3
19.248,113_1_3
23.277,114_1_1
23.466,114_1_1
24.156,114_1_2
23.874,114_1_2
20.238,114_1_3
19.335,114_1_3
23.147,115_1_1
23.194,115_1_1
24.426,115_1_2
24.435,115_1_2
16.454,115_1_3
16.461,115_1_3
22.798,117_1_1
22.761,117_1_1
22.663,117_1_2
22.851,117_1_2
19.181,117_1_3
18.047,117_1_3
22.731,118_1_1
22.746,118_1_1
24.349,118_1_2
24.448,118_1_2
14.731,118_1_3
14.51,118_1_3
23.691,119_1_1
23.685,119_1_1
24.673,119_1_2
24.787,119_1_2
18.937,119_1_3
19.095,119_1_3
24.632,12_1_1
24.626,12_1_1
23.896,12_1_2
23.474,12_1_2
21.85,12_1_3
22.242,12_1_3
23.266,120_1_1
23.741,120_1_1
22.119,120_1_2
21.96,120_1_2
23.93,120_1_3
24.15,120_1_3
22.983,121_1_1
23.017,121_1_1
24.253,121_1_2
24.29,121_1_2
22.699,121_1_3
22.66,121_1_3
23.039,122_1_1
22.825,122_1_1
23.354,122_1_2
24.21,122_1_2
23.236,122_1_3
23.068,122_1_3
23.751,123_1_1
23.476,123_1_1
22.806,123_1_2
22.977,123_1_2
22.312,123_1_3
22.621,123_1_3
24.812,124_1_1
24.265,124_1_1
21.962,124_1_2
22.54,124_1_2
19.278,124_1_3
19.893,124_1_3
25.463,125_1_1
25.216,125_1_1
20.792,125_1_2
20.991,125_1_2
16.248,125_1_3
16.114,125_1_3
23.236,126_1_1
23.227,126_1_1
24.838,126_1_2
24.681,126_1_2
19.89,126_1_3
19.608,126_1_3
24.78,127_1_1
24.611,127_1_1
24.77,127_1_2
24.505,127_1_2
16.432,127_1_3
16.539,127_1_3
23.939,128_1_1
24.431,128_1_1
23.976,128_1_2
23.526,128_1_2
15.644,128_1_3
16.174,128_1_3
25.989,129_1_1
25.411,129_1_1
23.069,129_1_2
23.043,129_1_2
20.841,129_1_3
20.858,129_1_3
23.102,13_1_1
23.14,13_1_1
25.956,13_1_2
26.751,13_1_2
16.571,13_1_3
16.645,13_1_3
23.387,130_1_1
22.801,130_1_1
24.407,130_1_2
24.709,130_1_2
18.219,130_1_3
18.646,130_1_3
25.233,131_1_1
25.583,131_1_1
24.47,131_1_2
24.47,131_1_2
20.668,131_1_3
20.794,131_1_3
23.557,132_1_1
23.32,132_1_1
24.72,132_1_2
24.603,132_1_2
16.743,132_1_3
16.222,132_1_3
18.372,133_1_1
17.626,133_1_1
25.734,133_1_2
25.851,133_1_2
14.733,133_1_3
14.724,133_1_3
22.132,134_1_1
22.167,134_1_1
24.386,134_1_2
24.67,134_1_2
17.254,134_1_3
17.87,134_1_3
25.747,135_1_1
26.074,135_1_1
23.169,135_1_2
22.721,135_1_2
20.662,135_1_3
20.544,135_1_3
24.97,136_1_1
24.551,136_1_1
23.54,136_1_2
23.433,136_1_2
17.19,136_1_3
17.144,136_1_3
24.636,137_1_1
24.984,137_1_1
25.192,137_1_2
25.198,137_1_2
19.794,137_1_3
19.594,137_1_3
25.714,138_1_1
25.94,138_1_1
25.979,138_1_2
26.162,138_1_2
16.967,138_1_3
17.295,138_1_3
26.126,139_1_1
26.256,139_1_1
23.95,139_1_2
23.793,139_1_2
20.062,139_1_3
19.975,139_1_3
25.278,14_1_1
25.766,14_1_1
23.089,14_1_2
23.03,14_1_2
14.645,14_1_3
14.763,14_1_3
26.161,140_1_1
25.36,140_1_1
25.201,140_1_2
23.499,140_1_2
22.992,140_1_3
22.847,140_1_3
23.939,141_1_1
24.313,141_1_1
24.924,141_1_2
24.711,141_1_2
23.092,141_1_3
22.724,141_1_3
25.115,142_1_1
25.166,142_1_1
24.532,142_1_2
24.146,142_1_2
23.533,142_1_3
23.844,142_1_3
21.556,143_1_1
21.605,143_1_1
23.251,143_1_2
23.53,143_1_2
24.929,143_1_3
25.15,143_1_3
22.326,144_1_1
22.621,144_1_1
24.863,144_1_2
24.857,144_1_2
27.002,144_1_3
25.811,144_1_3
19.119,145_1_1
19.665,145_1_1
24.905,145_1_2
24.48,145_1_2
19.254,145_1_3
19.087,145_1_3
18.796,146_1_1
19.054,146_1_1
18.717,146_1_2
19.087,146_1_2
25.187,146_1_3
25.134,146_1_3
24.601,147_1_1
24.617,147_1_1
15.368,147_1_2
15.095,147_1_2
24.256,147_1_3
23.945,147_1_3
22.325,148_1_1
22.135,148_1_1
25.107,148_1_2
25.091,148_1_2
24.693,148_1_3
24.157,148_1_3
19.546,149_1_1
19.595,149_1_1
15.01,149_1_2
15.151,149_1_2
24.54,149_1_3
25.403,149_1_3
25.031,15_1_1
24.86,15_1_1
25.925,15_1_2
25.646,15_1_2
17.476,15_1_3
17.533,15_1_3
24.276,150_1_1
23.736,150_1_1
21.717,150_1_2
21.925,150_1_2
25.582,150_1_3
25.834,150_1_3
25.086,151_1_1
24.891,151_1_1
24.422,151_1_2
24.429,151_1_2
21.361,151_1_3
21.905,151_1_3
24.393,152_1_1
25.082,152_1_1
24.057,152_1_2
24.107,152_1_2
25.334,152_1_3
24.894,152_1_3
20.299,153_1_1
20.548,153_1_1
16.599,153_1_2
17.158,153_1_2
24.548,153_1_3
24.736,153_1_3
22.819,154_1_1
23.216,154_1_1
23.176,154_1_2
23.091,154_1_2
24.345,154_1_3
24.07,154_1_3
22.257,155_1_1
22.316,155_1_1
19.745,155_1_2
19.786,155_1_2
20.171,155_1_3
19.857,155_1_3
24.827,156_1_1
24.398,156_1_1
22.749,156_1_2
23.19,156_1_2
23.874,156_1_3
24.119,156_1_3
25.4,157_1_1
25.544,157_1_1
21.997,157_1_2
21.477,157_1_2
23.434,157_1_3
23.482,157_1_3
23.51,159_1_1
23.397,159_1_1
23.256,159_1_2
22.947,159_1_2
22.842,159_1_3
23.268,159_1_3
22.52,16_1_1
22.208,16_1_1
24.5,16_1_2
24.363,16_1_2
20.278,16_1_3
19.946,16_1_3
26.432,160_1_1
26.489,160_1_1
23.832,160_1_2
24.055,160_1_2
24.917,160_1_3
24.838,160_1_3
22.597,161_1_1
22.884,161_1_1
26.062,161_1_2
26.045,161_1_2
25.855,161_1_3
25.954,161_1_3
25.508,162_1_1
26.023,162_1_1
27.963,162_1_2
26.152,162_1_2
17.59,162_1_3
17.593,162_1_3
23.058,163_1_1
23.448,163_1_1
24.132,163_1_2
23.678,163_1_2
24.538,163_1_3
24.798,163_1_3
24.414,164_1_1
23.946,164_1_1
24.047,164_1_2
23.612,164_1_2
22.442,164_1_3
23.307,164_1_3
22.024,165_1_1
22.505,165_1_1
24.2,165_1_2
24.424,165_1_2
23.45,165_1_3
23.188,165_1_3
25.716,166_1_1
26.098,166_1_1
17.521,166_1_2
17.895,166_1_2
23.641,166_1_3
24.089,166_1_3
24.993,167_1_1
25.208,167_1_1
23.735,167_1_2
23.678,167_1_2
24.16,167_1_3
24.087,167_1_3
24.765,168_1_1
24.85,168_1_1
21.148,168_1_2
21.323,168_1_2
25.29,168_1_3
24.746,168_1_3
25.79,169_1_1
25.391,169_1_1
23.481,169_1_2
23.65,169_1_2
14.801,169_1_3
14.702,169_1_3
22.27,17_1_1
22.372,17_1_1
21.733,17_1_2
22.293,17_1_2
22.319,17_1_3
22.094,17_1_3
25.449,170_1_1
25.056,170_1_1
23.812,170_1_2
24.081,170_1_2
22.866,170_1_3
22.97,170_1_3
24.016,171_1_1
24.236,171_1_1
21.723,171_1_2
21.74,171_1_2
25.743,171_1_3
25.964,171_1_3
23.696,172_1_1
24.124,172_1_1
22.827,172_1_2
